Player,3P%,2P%,eFG%,TS%,USG%,3PAr,FTr,AST%,TOV%,STL%,BLK%,DBPM,DRB%,ORB%,DWS,VORP,PER,2024-25_Player_Salary,2025-26_Player_Salary,2026-27_Player_Salary,2027-28_Player_Salary,2028-29_Player_Salary,Guaranteed_Player_Salary,BadPass,LostBall,OnCourt,On-Off,DWS,OWS,PG%,SG%,SF%,PF%,C%,Team,W/L%,MOV,ORtg,DRtg,NRtg,NRtg/A,2024-25_Payroll,2025-26_Payroll,2026-27_Payroll,2027-28_Payroll,2028-29_Payroll,2029-30_Payroll,Luxury_Tax,Penalty
A.J. Green,0.799560616,-0.771603513,0.594559022,0.608590958,-0.858141524,1.770712432,-0.847318892,-0.648838039,-0.796074513,-0.565442579,-0.944615254,-0.299106029,-0.987959805,-1.084961917,0.329984929,-0.775142815,-1.052570172,48787676,54126450,58456566,62786682,,161370692,-0.23131658,-0.338143147,0.423082289,0.272128687,0.329984929,0.209152147,0.187610304,2.172503515,-0.62566685,-0.69781851,-0.743372912,MIL,0.571,2.39,114.97,112.57,2.39,2.09,182600201,164780121,144366965,65273677,0,0,181791983,29378941
Alec Burks,0.817471099,-1.803610345,0.069023663,0.222853296,-0.512764176,1.25167108,-0.088059552,-0.504149417,-0.907154677,0.003556243,-0.668479248,0.361834148,-0.161537252,-0.837412674,-0.243382549,-0.101715573,-0.380161875,34848340,37096620,48713700,52610796,56507892,173269456,-0.452275702,-0.932991824,0.776618744,1.172531179,-0.243382549,-0.33596838,-0.176239982,1.273846425,0.786565747,-0.6296,-0.743372912,MIA,0.414,-1.73,111.86,113.72,-1.85,-1.81,173088172,178497509,134432212,59746788,56507892,0,173599367,4178050
Amir Coffey,0.763739649,-0.191099669,0.200407503,0.623427021,-0.440053156,0.261871292,-0.05584855,-0.938215283,-0.999721481,-0.679242343,-0.944615254,-0.372543827,-1.182412171,-0.878670881,0.903352407,-0.438429194,-0.565653819,49205800,50000000,50300000,,,149505800,-0.065597239,0.171727148,-0.080027283,-0.957998661,0.903352407,1.299393201,-0.503705239,-0.164004919,2.110533806,0.018475846,-0.718696633,LAC,0.571,3.39,114.07,110.6,3.47,3.57,169670454,170638969,109119480,23485315,0,0,170720454,0
Ariel Hukporti,0,1.442911148,1.478413945,1.216869577,-1.094452341,-1.681516097,0.772434367,-0.92374642,4.424693223,-1.703440222,2.369016818,0.508709743,0.616272211,0.235300713,-0.960091897,-0.943499626,-1.423554061,49205800,53142264,57078728,61015192,,159426792,-0.397035922,-0.593078294,-1.752526668,-2.352988437,-0.960091897,-1.06279575,-0.503705239,-0.739145456,-0.669799119,-0.424944469,1.526844778,NYK,0.629,4.17,118.56,114.41,4.15,3.31,188375874,196310224,167478483,177217150,91692629,0,188510845,36842746
Bismack Biyombo,0,1.464411291,1.502301916,1.216869577,-1.039919075,-1.681516097,0.243253614,-0.518618279,1.22188181,0.231155771,1.09879119,0.068082958,0.924155123,0.400333542,-0.816750027,-0.606786005,0.060381492,34848340,37096620,,,,71944960,-0.783714385,-0.678056676,-1.616551108,-1.236996616,-0.816750027,-0.608528644,-0.503705239,-0.739145456,-0.669799119,-0.69781851,1.724255012,SAS,0.435,-2.09,114.94,116.96,-2.02,-2.02,161683617,145818612,74384166,37322313,27000000,0,162178506,0
Bobby Portis,0.324932805,-0.406101093,-0.432623725,-0.504113834,1.195944807,-0.49053749,-0.603435589,0.146949382,-0.703507709,-0.451642815,-0.060980035,-0.372543827,1.847803859,0.338446231,1.333378015,0.403354859,0.871908748,48787676,54126450,58456566,62786682,,161370692,0.155361882,0.171727148,0.341496953,0.15799316,1.333378015,-0.245114959,-0.503705239,-0.739145456,-0.669799119,2.099140406,-0.299199886,MIL,0.571,2.39,114.97,112.57,2.39,2.09,182600201,164780121,144366965,65273677,0,0,181791983,29378941
Branden Carlson,0.754784407,0.142152537,0.618446993,0.801459788,-0.149209073,1.501132815,-0.727678027,-0.735651212,-1.147828367,-1.020641636,2.47947122,0.729023135,0.875542031,-0.383572395,-0.960091897,-0.438429194,0.616857325,35859950,38333050,40806150,,,114999150,-1.004673506,-0.848013441,1.19814298,-0.488774827,-0.960091897,-0.699382065,-0.503705239,-0.739145456,-0.669799119,-0.69781851,1.724255012,OKC,0.829,13.06,120.27,107.26,13.01,12.87,164952350,177782645,149631320,52994837,30437135,0,165601181,0
Bruno Fernando,0,-0.126599242,-0.265407929,-0.29640894,0.268879295,-1.681516097,-0.405568004,0.783579318,1.573635665,-0.451642815,2.092880812,1.463401109,1.134811852,1.844370794,-0.960091897,-0.606786005,0.384992394,36016200,38095238,40000000,41904762,,114111438,-0.728474604,-0.932991824,-0.895880641,-0.171731696,-0.960091897,-0.790235486,-0.503705239,-0.739145456,-0.669799119,-0.69781851,1.724255012,TOR,0.343,-5.1,110.67,115.86,-5.2,-4.6,169454647,177340721,181202885,125122564,80440570,51033510,170306450,0
Caleb Houstan,0.244335629,-1.061855434,-0.396791769,-0.415097451,-1.05809683,1.774736008,-0.654052879,-1.111841629,-1.518095583,-0.679242343,-0.834160851,-0.299106029,-1.3930689,-0.75489626,-0.530066288,-1.111856436,-1.49311354,25000000,15000000,14500000,14500000,15000000,69000000,-0.949433726,-0.848013441,-1.398990213,-1.236996616,-0.530066288,-0.517675223,-0.467320211,-0.164004919,2.507724224,-0.322616704,-0.718696633,ORL,0.465,-1.31,108.56,109.9,-1.33,-1.82,150359238,199367531,170522341,114636256,110738890,77733510,150359238,0
Cam Thomas,0.190604179,-0.395351022,-0.480399667,0.04482053,2.741053994,0.048621744,0.376699195,1.463615841,-0.351753855,-0.793042108,-0.999842455,-2.061613167,-0.809711803,-0.878670881,-0.816750027,0.066641237,1.034214199,40011909,,,,,39256083,0.100122102,1.276446119,-0.909478197,-0.006869268,-0.816750027,-0.063408117,-0.067084896,1.52547041,0.433507597,-0.69781851,-0.743372912,BRK,0.324,-6.06,109.22,115.37,-6.16,-5.86,169054676,59349882,58834878,20943184,0,0,169731315,0
